cen_x,cen_y,xmin,ymin,xmax,ymax
1642,633,1590.4296,582.18585,1694.6082,685.0519
652,155,631.81024,138.9741,672.56146,171.6375
1099,244,1060.0017,220.71031,1138.2017,268.64774
656,115,639.70056,102.36757,672.97174,128.23105
590,107,575.64966,95.07979,605.56226,119.988716
932,194,902.22833,174.979,963.0642,213.86705
1454,435,1411.9088,394.12396,1496.5531,477.45227
480,51,463.57175,36.05879,497.49863,66.342865
656,115,639.70056,102.36757,672.97174,128.23105
1133,269,1092.539,242.1279,1173.591,297.11282
640,261,608.2851,232.93222,673.2424,289.9141
1372,448,1307.2308,398.5583,1438.6141,499.18005
1082,277,1056.4258,252.61687,1108.3931,301.92908
942,460,868.8638,396.59937,1016.5677,525.22925
928,157,908.955,141.94838,948.06494,174.03699
1389,724,1342.1571,676.19415,1437.274,772.2879
1372,448,1305.7623,398.30725,1438.6249,498.8648
942,460,868.4564,396.51367,1016.4389,525.3604
482,54,462.46,40.18071,502.49594,68.03826
1402,732,1368.8083,693.38885,1436.9059,770.85
539,40,527.9807,32.222004,550.0616,49.00446
1108,652,1001.0017,559.8206,1215.3645,746.03516
609,124,593.11426,109.2135,626.31354,139.3633
1108,652,1000.68225,559.2618,1215.6809,746.5202
1108,652,1000.2085,559.33466,1215.86,745.948
394,171,378.25735,149.7649,411.13098,193.29526
388,120,376.2315,110.07306,401.38605,130.8879
1025,213,1006.1788,191.06487,1044.4194,236.0527
609,124,593.11426,109.2135,626.31354,139.3633
481,50,467.75125,38.219753,496.0739,62.39511
607,932,502.2987,798.95013,713.4617,1066.5597
1129,501,1050.9005,443.054,1208.3752,559.73627
726,248,694.54095,221.49368,758.2006,276.2313
728,172,702.97754,153.94121,754.9833,191.84096
429,336,398.84927,301.13083,460.40646,371.0252
595,107,576.5516,90.73086,613.4788,124.40149
622,221,585.4991,181.84792,659.76465,260.2614
570,85,556.678,72.396866,584.1678,98.45989
623,221,585.5874,182.14305,660.6041,261.42706
1219,317,1169.9958,287.4471,1269.3396,347.0782
481,50,465.23663,37.18211,498.14987,63.086815
598,100,577.2623,79.12432,619.8442,121.626396
595,79,578.9356,62.50585,611.21326,96.274925
595,89,575.7254,67.50111,614.5734,111.50999
436,456,396.93375,410.01135,475.8939,502.44833
911,416,839.9383,348.80472,982.08514,484.37592
922,329,871.5579,294.05103,974.02625,365.34143
1650,644,1594.6752,584.31036,1705.8553,705.5117
531,87,518.99225,76.854225,543.01514,97.98349
603,126,580.37036,96.72368,625.9455,156.0687
404,247,379.73865,225.14258,429.04883,269.13947
603,126,580.4258,96.78476,626.31573,156.88905
575,88,562.4032,75.19172,588.9274,101.61759
381,83,358.3089,65.40371,405.2868,102.13462
923,328,871.5328,293.3169,974.50415,363.91757
1773,744,1691.5741,672.45245,1855.5862,817.05054
1075,267,1053.8696,242.90048,1096.8949,291.18207
615,118,596.25854,101.07252,634.24725,136.67099
1185,305,1139.5183,275.50327,1230.874,335.19232
1053,264,1011.3847,235.91208,1096.1837,292.25623
564,133,555.2331,121.45494,572.84174,145.41333
615,118,596.25854,101.07252,634.24725,136.67099
506,51,493.9594,40.28827,518.35645,62.9114
822,136,804.43616,123.98774,840.28314,149.23856
492,50,470.13058,37.080215,515.01495,63.501484
1773,743,1691.8456,671.82904,1855.5266,815.85376
1178,294,1126.2433,251.5637,1231.645,336.91714
828,315,817.3166,305.74872,839.8159,325.3768
469,533,391.85925,392.96573,546.151,674.84265
834,347,779.91315,302.32864,889.91223,393.59402
537,87,521.4217,69.04794,553.32635,105.52707
835,347,780.1335,302.04382,890.0443,393.68405
625,133,604.7427,114.05117,646.9604,153.74023
951,199,922.3011,184.54425,980.3383,214.97766
625,133,604.683,113.67183,646.80426,153.6101
1454,435,1379.2776,374.84064,1530.5593,495.47787
469,534,392.95013,393.35394,546.8808,675.0049
1006,199,972.51105,174.74333,1041.0668,224.78645
537,87,521.4217,69.04794,553.32635,105.52707
1454,438,1379.1777,381.65564,1529.5322,494.85397
1023,207,1007.3454,190.92493,1039.334,223.85558
550,882,458.26413,766.0079,643.35406,999.0668
1098,599,989.2194,495.24213,1208.5197,703.7126
738,256,701.87946,227.8213,774.16376,284.75208
769,213,740.74316,190.41837,799.08673,236.20279
1131,488,1055.3098,438.05038,1207.2251,538.13385
407,294,380.89288,264.8362,434.6619,324.30548
670,131,652.3529,118.65248,689.41156,143.75922
588,103,572.26337,87.32717,604.5214,119.37767
587,135,568.0631,120.71953,607.8005,151.27455
