cen_x,cen_y,xmin,ymin,xmax,ymax
1505,749,1399.6217,683.2142,1611.9917,815.16656
1536,600,1464.4353,554.01514,1607.8226,647.74164
659,860,570.26447,786.19916,747.98505,934.04333
429,507,381.4806,467.96948,477.63995,547.191
1185,512,1125.2124,473.7452,1246.2769,550.5609
722,321,686.1846,291.9921,759.7758,350.48074
204,257,185.07283,240.71115,222.99763,273.94196
325,258,305.11838,241.79402,345.03668,275.71774
366,300,341.67752,279.86435,391.28943,321.05267
343,636,289.03168,576.65656,398.95233,696.05884
829,416,785.6895,381.12415,872.9904,451.26337
237,223,221.89557,209.10387,253.35905,237.17194
180,206,167.04143,191.02115,194.64757,222.81223
829,416,785.49365,381.16028,873.49396,451.3822
265,184,252.71814,175.89189,277.92053,192.72424
343,636,288.60855,576.6243,398.82642,696.36523
208,190,194.56894,181.3179,222.97513,199.32742
213,192,199.27893,182.9927,226.96895,202.59544
9,484,-3.076942,447.50616,21.755806,522.17755
894,371,854.80505,345.21295,934.32776,397.78384
796,398,753.00684,364.48242,840.55206,432.3164
559,516,506.27304,474.54047,611.7515,559.15564
1344,702,1247.3286,640.03143,1441.1772,765.7988
221,325,195.68166,303.26477,246.75542,348.5674
861,322,826.42834,296.82382,896.2049,348.90662
196,261,178.96361,246.05898,213.14566,277.81918
1049,799,938.2174,723.6121,1161.5198,875.3885
347,355,305.65778,301.93015,388.8718,408.3696
440,526,390.35886,476.22412,489.91806,577.7144
379,313,355.2485,289.92383,403.76746,337.88376
347,354,306.04233,302.29068,389.58603,407.49005
345,227,328.45474,217.63635,362.54163,238.18701
273,224,253.82509,213.1741,292.96115,236.36023
1050,799,939.4161,722.98334,1161.3124,876.1003
440,527,390.467,476.04282,489.91962,577.9818
591,264,574.2022,250.47612,609.7535,278.08945
274,219,254.69943,207.45909,293.4403,232.10118
177,188,160.77034,169.84836,194.96568,207.64276
177,188,160.77034,169.84836,194.96568,207.64276
379,313,354.48172,289.27634,403.77975,337.64572
276,229,259.15393,219.1192,293.17136,239.64876
1344,702,1248.4395,639.66473,1440.8622,765.8825
302,207,289.60828,196.6709,315.28223,217.45776
