cen_x,cen_y,xmin,ymin,xmax,ymax
683,303,649.5281,279.58865,717.7411,327.96548
788,854,549.5431,635.9885,1026.9987,1072.6005
936,525,860.32654,466.81116,1011.88855,584.67224
626,207,607.66534,193.59251,644.50586,221.43703
1072,212,1058.7382,201.58705,1085.8273,222.7809
627,198,608.2967,177.25996,645.9965,220.4794
1443,165,1413.7026,141.61916,1473.9742,188.72928
1457,243,1439.7917,227.17853,1474.8344,259.1239
1657,425,1628.1271,399.53622,1687.3618,450.67734
592,164,582.5165,156.83138,603.3122,173.14209
565,149,553.61975,139.62923,576.443,158.65456
788,854,550.126,636.7453,1026.077,1072.381
993,190,985.2989,182.05336,1001.49506,199.35626
640,165,630.58704,153.44598,649.97815,178.45851
1411,240,1395.763,225.9574,1426.8171,255.33162
1225,798,1107.728,705.3644,1342.3594,890.852
785,293,746.64825,263.06976,823.93353,324.17532
444,213,427.28543,199.74988,462.3205,227.26517
572,197,556.0502,184.1497,589.89856,210.39473
1044,311,1022.6627,294.08847,1066.0544,328.32065
561,288,530.76965,256.24942,591.8366,320.57568
1133,292,1115.5636,280.12625,1151.6747,305.61847
1080,274,1065.5627,261.74127,1096.3107,286.75534
701,341,667.2032,307.73312,736.6223,375.86786
560,288,529.7097,256.07266,591.3197,321.33496
1306,168,1296.023,159.08922,1316.4916,177.83406
1089,181,1076.726,170.62749,1102.2272,191.61801
1443,166,1413.389,140.68245,1473.6543,191.32942
702,341,667.08136,308.05426,736.97,375.49973
618,181,603.956,170.5186,633.4898,192.68854
512,183,494.91107,166.96506,530.1088,200.97514
701,341,667.5498,308.05267,736.4096,375.17072
572,197,556.0502,184.1497,589.89856,210.39473
1657,427,1627.7572,404.10968,1687.0901,451.6985
512,183,494.91107,166.96506,530.1088,200.97514
560,288,529.9002,256.1459,591.37744,320.93182
1474,219,1438.9827,187.23984,1510.7928,252.0612
1667,674,1624.003,643.0147,1711.7642,705.2698
641,132,624.8759,119.02362,657.9563,146.09818
518,413,459.46548,342.28543,576.6763,483.82602
1529,459,1489.4517,419.64615,1569.4785,498.60443
677,253,650.7808,234.64232,704.8191,271.5266
1655,345,1630.9768,328.98996,1679.3464,362.3924
974,560,891.50006,496.67914,1056.8293,623.7865
689,307,653.5124,279.30862,725.96277,334.72284
1036,294,1021.62396,281.55325,1050.8691,306.6541
577,172,564.79816,162.4268,590.3293,182.20312
526,233,504.24597,212.30092,548.8892,254.51701
1430,438,1410.9028,415.9083,1449.6858,461.98492
1333,256,1312.3286,232.34592,1354.1324,280.1557
1333,256,1312.3286,232.34592,1354.1324,280.1557
1443,165,1413.686,142.09206,1473.5553,188.17508
973,559,891.15247,496.4082,1056.4369,623.40625
1063,167,1051.8959,158.39996,1075.2373,176.0077
1657,425,1628.0646,399.80118,1687.0913,450.56964
526,233,504.24597,212.30092,548.8892,254.51701
689,306,653.63696,279.35446,726.17786,334.61066
1324,179,1313.7476,171.7527,1334.6025,187.737
678,253,650.88055,235.21812,706.3246,271.73572
639,146,630.6999,137.29082,647.8425,155.06854
616,174,593.3478,148.27255,639.5583,200.15349
1443,164,1413.4404,141.6772,1473.8268,187.90993
1658,424,1628.3641,399.34073,1688.3239,450.38602
1040,174,1027.7485,166.1834,1052.9956,183.68114
616,174,593.3478,148.27255,639.5583,200.15349
630,136,614.86285,121.74068,645.76843,151.7352
1043,173,1032.504,163.85797,1054.3832,183.15019
1106,244,1085.7152,230.776,1127.806,257.4091
628,131,610.7205,115.07803,645.66815,148.71384
630,136,614.86285,121.74068,645.76843,151.7352
654,224,632.0332,210.5155,676.3349,239.25261
765,295,730.49475,269.41,800.955,322.37674
1729,380,1705.6315,364.8213,1753.8524,397.03235
1568,317,1548.8002,304.60983,1588.3969,330.58496
439,225,416.4615,199.36592,462.80145,250.82603
617,191,602.3225,178.64922,631.7734,203.62074
1651,361,1627.2427,343.38403,1676.2773,379.4382
1469,260,1453.4554,250.37312,1484.9374,271.05414
1444,166,1413.4889,142.09265,1474.5526,190.62344
1510,254,1494.198,243.78484,1525.87,264.9433
1657,425,1628.0397,399.6653,1686.8907,450.4681
1564,314,1545.5118,300.8952,1584.4083,327.8288
1652,361,1627.4215,343.63513,1678.2588,380.26175
765,295,730.392,269.43585,801.1921,322.55246
439,225,416.4395,199.21346,462.71103,251.02853
1295,159,1283.7281,149.48906,1307.976,168.83089
1467,259,1450.6854,247.18668,1483.3315,271.49457
658,288,623.3534,261.08334,693.8782,316.45273
566,285,518.3295,230.87434,613.7258,339.36963
1553,530,1520.2406,500.61026,1586.017,560.7977
879,357,829.6972,319.38394,930.07916,396.38046
646,212,625.7152,198.70288,666.3264,226.44002
794,465,733.84235,403.60666,854.39813,528.3698
1151,339,1131.5825,321.18762,1171.6711,358.3896
962,231,948.426,219.8157,976.9408,243.54631
495,165,471.53928,143.0155,518.9572,187.8657
1658,427,1628.4532,404.73062,1687.9954,450.54044
495,165,471.53928,143.0155,518.9572,187.8657
578,182,562.9973,166.33638,594.30304,197.96382
794,466,734.1419,403.8206,854.1046,528.6586
533,179,519.04456,166.65356,548.6025,192.23256
1444,165,1413.6797,142.67767,1474.348,189.0456
1087,340,1070.4724,319.09793,1104.6501,361.97763
573,182,553.01575,166.25705,593.2275,198.49162
533,177,517.8668,162.89183,549.3875,191.67955
1095,117,1084.9142,107.88717,1105.1747,127.20961
880,357,829.57776,319.743,930.643,395.98615
1657,427,1627.7535,404.3962,1687.8901,450.45972
794,465,734.4144,403.29535,854.9321,527.9765
631,134,618.2847,120.644806,645.06696,149.10378
1559,1026,1414.505,975.1239,1704.6162,1077.917
1709,356,1658.8263,309.89594,1760.7766,403.71933
679,309,644.5095,281.37543,714.07385,337.2026
519,234,498.7285,214.33815,540.79535,254.12529
1085,319,1067.667,305.52588,1103.9868,334.4657
1034,295,1018.33044,283.3629,1050.8167,307.7342
1394,323,1376.9718,301.15475,1412.9009,345.21567
1151,336,1130.9327,316.8927,1172.5486,356.31772
1338,184,1325.6587,173.66833,1351.6154,194.68547
1657,426,1628.3579,404.16586,1686.893,449.5085
1657,426,1629.031,403.8744,1686.5054,449.03958
1075,237,1060.167,225.87813,1090.8649,248.90118
519,234,498.7285,214.33815,540.79535,254.12529
1444,165,1414.0951,142.17078,1474.255,188.80505
1394,322,1376.3665,299.90887,1413.0259,345.5584
1033,228,1018.81256,217.12163,1048.1686,239.77028
1075,237,1060.167,225.87813,1090.8649,248.90118
1076,232,1060.7526,215.8257,1091.5443,248.86525
679,309,644.9664,281.10077,714.4468,337.21017
1033,228,1018.81256,217.12163,1048.1686,239.77028
833,465,771.53503,419.11807,896.1887,511.26172
585,225,561.5185,203.96945,609.1564,246.69876
1358,290,1339.4792,273.4117,1376.9559,306.95078
527,165,514.278,157.04462,539.8972,173.72725
570,192,555.35803,180.11328,585.36127,204.58087
1127,284,1107.5632,270.72293,1147.545,297.92642
1439,476,1415.973,451.92365,1463.8381,500.5184
680,121,660.74176,108.62595,700.41797,135.27216
1029,200,1014.78906,186.9792,1043.496,213.10846
1306,169,1292.9121,157.67432,1319.7029,180.3617
1435,239,1421.729,230.19118,1448.6272,249.16891
632,148,620.6888,135.8332,643.32745,161.44771
1734,374,1688.2953,339.48642,1781.6532,409.4255
590,149,578.6422,136.80904,602.33124,161.80005
1657,427,1627.636,403.86377,1687.3778,450.41754
1443,165,1413.8561,142.94536,1473.5446,188.10718
590,149,578.6422,136.80904,602.33124,161.80005
1291,142,1279.1448,133.73341,1303.4752,152.11015
680,121,660.74176,108.62595,700.41797,135.27216
1657,427,1627.636,403.86377,1687.3778,450.41754
585,225,561.5185,203.96945,609.1564,246.69876
1066,172,1058.097,164.18466,1074.2534,181.53934
1734,374,1688.2953,339.48642,1781.6532,409.4255
1182,564,1097.3878,510.02765,1267.1019,619.8358
719,269,688.0969,249.05527,751.66455,289.913
1648,359,1622.9977,341.5557,1673.4266,377.29825
652,219,633.1649,206.52446,672.59973,232.86719
1112,251,1097.8152,236.58208,1127.7191,266.19772
1345,282,1326.4617,268.81937,1364.2129,296.53302
1452,239,1435.5934,227.00781,1468.7761,252.22316
1587,998,1390.1995,919.7393,1785.3939,1076.4666
1588,998,1390.554,919.5685,1785.6241,1076.8472
627,181,613.152,168.62617,642.1883,193.61061
1028,171,1012.8987,159.38043,1043.6105,184.26334
453,224,433.97656,206.22426,473.103,243.65189
1588,997,1391.9733,919.69684,1785.384,1076.1732
1285,160,1275.071,152.79527,1296.8466,167.96405
453,224,433.97656,206.22426,473.103,243.65189
