cen_x,cen_y,xmin,ymin,xmax,ymax
237,32,228.93144,26.393362,245.69698,39.207634
288,99,273.04858,86.32641,304.35928,112.78
119,51,110.923874,42.389854,128.51215,59.984917
116,59,105.47254,50.116875,127.35415,69.74722
284,51,270.21158,42.45519,298.88458,61.14848
140,118,122.369194,102.19532,157.85054,135.23463
140,118,122.369194,102.19532,157.85054,135.23463
125,79,111.21118,67.00664,139.6575,91.34703
259,51,246.8814,42.63709,272.73407,59.43231
122,94,106.58551,80.38426,137.78326,107.901794
241,61,229.57828,51.661434,253.46425,71.89963
241,61,229.57828,51.661434,253.46425,71.89963
255,45,247.8639,40.47451,263.63562,49.857925
255,45,247.8639,40.47451,263.63562,49.857925
123,84,109.18094,72.65514,137.7535,97.310265
102,174,81.52775,147.79028,123.16069,200.9791
122,70,109.6395,59.50095,135.29634,80.895096
80,27,71.24134,22.285173,90.1743,33.579388
303,61,286.04376,49.365604,320.07315,73.88375
302,51,285.63846,29.425919,319.97345,73.700966
103,32,94.50011,23.90447,112.700874,41.331837
103,32,94.50011,23.90447,112.700874,41.331837
100,124,82.74771,106.89478,117.35165,142.95195
99,124,82.67924,106.83011,117.29565,142.96799
100,136,79.666435,118.68931,121.18905,154.3421
169,199,141.97404,167.1819,197.11877,232.54381
94,140,77.236115,119.152145,112.73635,161.15475
226,110,219.98903,100.51648,233.00189,120.95684
169,199,141.97404,167.1819,197.11877,232.54381
94,140,77.236115,119.152145,112.73635,161.15475
226,110,219.98903,100.51648,233.00189,120.95684
239,32,228.77032,26.916798,251.10071,38.88388
103,168,84.948875,144.70927,122.11835,192.43585
240,59,228.85214,52.79775,251.21896,66.37983
185,18,176.98772,11.531038,193.79823,25.42476
104,26,95.57994,22.02896,113.85806,30.6731
177,12,167.50975,4.6804447,187.27501,20.049067
104,206,80.54076,175.35239,128.7587,237.80667
104,206,80.54076,175.35239,128.7587,237.80667
275,96,255.17876,82.662384,296.0449,110.485634
150,137,128.45709,116.99688,172.37677,157.34715
83,79,70.34369,66.05231,96.689644,92.523315
150,137,128.45709,116.99688,172.37677,157.34715
83,79,70.34369,66.05231,96.689644,92.523315
111,38,100.54072,30.97608,122.73592,46.128323
98,102,82.82838,86.696815,114.62537,117.848114
266,57,250.50375,47.666462,282.27164,66.36473
296,109,271.7577,77.9831,320.2582,140.40955
84,61,72.20964,50.675636,96.336975,73.284454
152,137,130.00304,116.567116,175.20892,159.18713
168,145,161.96144,139.69531,175.26834,152.21033
150,147,138.23413,138.28534,163.01343,157.63919
91,78,78.75138,66.84827,104.82082,90.69934
282,105,260.5958,89.56362,304.30203,121.07059
282,105,260.51102,89.56777,304.70657,121.078186
282,105,260.5958,89.56362,304.30203,121.07059
282,105,260.51102,89.56777,304.70657,121.078186
299,113,279.41757,96.28257,320.3284,130.61674
131,95,114.984505,79.745895,147.57747,111.52627
122,222,92.51083,205.17653,152.21263,239.4142
106,215,94.41822,206.40144,117.842064,224.9639
131,95,114.9384,79.67153,147.36995,111.256134
