cen_x,cen_y,xmin,ymin,xmax,ymax
1111,468,1064.2709,412.60495,1158.0613,524.3719
1349,273,1319.86,249.85246,1379.4404,297.42078
1243,225,1222.888,210.24709,1263.1711,240.77641
820,223,801.9992,207.56297,839.3994,239.0507
874,207,856.754,191.85109,892.9436,223.71666
868,163,844.97876,139.14238,891.52686,187.13333
1221,195,1203.2815,180.25064,1240.6692,211.43762
938,195,920.9143,176.19293,956.1798,214.46768
1409,264,1376.3187,238.36565,1442.4222,290.3511
1325,231,1304.2893,210.28275,1347.4988,252.36107
914,168,898.65466,155.15459,931.2584,181.03525
1191,188,1176.0735,175.24281,1207.3973,202.07631
1349,272,1319.3528,248.56224,1379.5356,296.4643
938,195,920.9143,176.19293,956.1798,214.46768
1327,231,1305.8254,210.11691,1348.2325,253.17885
1409,265,1376.4231,239.40288,1441.6432,290.72064
914,168,898.65466,155.15459,931.2584,181.03525
1242,224,1221.8889,208.22856,1264.0632,241.68628
823,190,807.1754,177.81674,839.4805,203.04619
1404,245,1371.8833,215.92345,1437.5597,275.08035
820,223,801.9992,207.56297,839.3994,239.0507
1405,237,1370.7034,215.18573,1439.6302,258.8653
734,212,715.9256,198.51848,753.76294,227.36563
1404,228,1372.0525,216.38281,1437.7418,240.51169
1167,173,1152.1437,161.7662,1181.9751,185.59492
874,207,856.754,191.85109,892.9436,223.71666
818,105,804.08496,90.98895,833.495,119.94647
1409,265,1376.4231,239.40288,1441.6432,290.72064
823,190,807.1754,177.81674,839.4805,203.04619
942,390,885.5128,303.28287,999.32794,477.46988
1283,794,1207.0082,727.6987,1359.6411,860.64124
880,967,793.59595,878.79083,968.0698,1056.1781
989,251,966.9614,232.58481,1012.99677,271.21268
1171,197,1147.0623,180.227,1195.0607,214.88525
735,213,715.4516,200.19394,755.2383,227.57002
867,136,855.37213,125.67678,880.5865,147.14383
821,165,807.93994,154.52908,835.6215,176.94217
902,156,890.8614,145.52376,915.06757,167.90395
948,160,937.32043,150.27193,960.1145,170.39546
1171,197,1147.6625,180.3477,1194.7565,214.65692
1171,197,1147.0623,180.227,1195.0607,214.88525
867,136,855.37213,125.67678,880.5865,147.14383
735,213,715.4516,200.19394,755.2383,227.57002
998,252,975.9454,234.35382,1021.1836,271.60806
1237,206,1220.0984,192.64133,1255.2527,220.24391
856,148,836.4706,128.12518,876.2954,168.03033
883,215,863.9816,200.15593,903.48663,231.08362
818,223,801.22644,205.46202,836.5455,240.83243
1177,175,1159.598,160.59433,1194.4763,190.18614
820,123,802.0511,102.08892,838.51935,144.21866
1151,209,1137.7338,195.23723,1164.8711,224.07222
818,223,801.22644,205.46202,836.5455,240.83243
1177,175,1160.567,160.84381,1195.0452,189.87775
883,215,863.9816,200.15593,903.48663,231.08362
