cen_x,cen_y,xmin,ymin,xmax,ymax
1618,727,1556.6699,677.40283,1680.349,777.11584
791,733,745.4758,689.76685,836.64923,777.9087
1244,611,1205.637,574.71606,1282.6156,648.1602
501,299,486.73376,285.77692,515.5525,313.67874
537,231,526.514,220.09052,548.5426,243.12306
539,228,527.10266,214.04315,551.47864,243.75493
765,631,723.5983,596.41693,807.88043,667.49384
540,266,522.3725,248.2426,557.79596,284.17975
500,252,486.43002,240.0902,513.5813,264.41797
1405,582,1356.4441,543.8652,1453.8401,620.5034
692,497,663.8353,471.6314,720.78186,524.20874
1393,666,1371.9362,633.15717,1414.7874,700.2555
1392,684,1370.8187,667.1587,1414.3741,700.92377
612,529,583.0545,499.87857,642.5262,559.6092
1887,899,1854.5121,809.40735,1921.0905,990.3895
1687,823,1613.5746,754.3817,1761.3436,892.8734
513,677,475.43878,628.0734,551.53546,725.95
1687,823,1613.4607,753.76013,1761.3904,893.13525
513,676,475.43427,627.6562,551.3189,725.9916
541,253,531.2995,244.26598,551.5214,263.66473
505,230,496.75854,222.14908,513.2641,239.20686
1887,898,1854.9161,808.3922,1920.3597,989.2696
536,192,526.54553,184.31613,546.3192,200.5701
1432,744,1361.8029,677.2029,1502.654,812.616
700,385,680.97437,371.28925,720.27563,400.21954
1432,744,1362.1666,677.04626,1502.3501,812.29486
717,566,683.3007,532.9928,751.5491,600.26855
504,332,486.67007,315.9469,522.88025,348.6752
507,254,496.40088,244.45584,518.6412,263.66263
674,340,658.6915,328.20413,690.03125,352.55325
522,704,486.34854,658.74634,557.7772,749.6067
580,420,560.2276,392.6922,601.6768,447.34726
619,343,600.0746,330.10443,639.03485,356.2711
522,704,486.91223,658.4878,557.13995,749.7728
618,352,596.9679,343.72595,639.858,361.94016
581,420,560.2676,392.7132,601.86053,447.44205
1877,942,1837.0479,889.18976,1918.5956,994.9613
1266,572,1220.2009,537.5749,1312.3147,607.44867
666,732,628.06525,691.8688,704.86176,772.67145
555,328,533.4868,301.88422,577.7711,355.71106
672,473,643.6439,440.97305,701.66815,505.37018
672,472,642.693,440.65494,701.7169,505.2843
555,329,533.0163,301.77255,577.776,356.71295
1531,1003,1440.302,928.50433,1622.421,1078.191
507,343,491.76813,328.22427,522.9274,358.97516
576,238,566.3532,228.53792,587.07874,247.9324
536,215,528.1225,206.41656,544.3366,225.09807
1256,654,1206.6632,618.4328,1305.5472,689.97595
770,497,741.54767,472.8944,798.63477,521.9826
562,386,541.6986,370.06476,583.847,402.50894
579,472,557.0113,450.01227,602.791,495.49088
613,264,604.5027,254.85025,622.3365,273.633
544,269,531.67883,259.3872,556.9658,279.7824
502,225,492.0021,213.38402,512.82043,238.29166
1553,737,1457.2306,640.4186,1648.8746,834.1363
775,651,733.3566,615.3016,816.7332,688.02484
1597,938,1510.3943,865.1613,1683.9181,1011.3668
1251,633,1205.925,591.87085,1297.0714,675.53534
746,444,722.7331,422.36255,769.44824,467.20242
504,382,482.10294,366.0743,526.69806,398.11386
547,300,531.0,283.98303,563.2952,316.10114
509,337,495.07162,325.15182,523.6677,350.4201
504,338,484.32623,325.6024,523.91187,352.3959
1251,633,1206.3113,592.18823,1295.7378,675.56335
612,257,603.1236,247.60434,621.01184,267.56192
1559,878,1482.5817,814.9568,1636.2034,942.62244
796,710,753.68774,672.2836,840.07526,748.24866
576,501,546.2501,478.55746,606.481,524.888
496,280,480.27377,267.88748,512.1657,294.07135
541,237,532.22186,224.01114,551.5875,250.97223
632,284,621.2845,273.15192,644.5494,296.1156
1265,652,1216.0436,611.1444,1315.7556,693.59595
1661,856,1588.1672,798.6165,1735.4929,914.635
496,383,477.06506,367.62814,515.57874,399.26694
520,511,492.44492,485.04312,548.2839,537.18854
503,265,491.38388,253.31134,515.25183,277.33542
582,267,571.0163,258.25278,593.5814,276.54913
518,511,488.0255,484.96167,548.26385,537.04004
1386,646,1322.1768,583.04926,1451.1735,710.12335
1489,619,1417.6385,553.8071,1561.3422,685.6398
1307,676,1284.7556,640.544,1330.1455,713.0818
1489,619,1417.2981,554.0037,1561.5323,685.8567
1387,646,1323.3099,583.3205,1450.9828,709.99994
548,370,527.0821,355.41385,570.76465,384.59235
847,833,787.1949,762.2213,907.713,905.2492
516,569,489.24747,541.729,543.41833,596.6332
510,426,489.71988,399.2991,531.8734,453.07434
516,569,489.00903,541.6493,543.6209,596.8774
847,833,786.6916,762.17114,908.0525,905.0238
510,426,489.6063,398.9525,532.0126,453.50864
847,833,786.7514,762.1285,907.6044,905.28644
657,620,606.5825,548.26276,707.438,692.022
991,1046,926.8506,1013.43335,1056.7406,1078.8989
561,348,545.0746,330.87192,577.3078,366.68936
876,625,834.4805,587.76404,917.66797,662.5693
809,742,751.0439,673.1333,868.6769,811.0782
532,745,493.70776,697.38654,571.4899,793.839
