cen_x,cen_y,xmin,ymin,xmax,ymax
1311,512,1221.0249,425.37305,1402.867,598.87933
1039,303,992.11536,266.6437,1086.4097,339.72076
807,150,790.45215,135.1581,824.02435,165.7402
873,136,846.5252,106.91747,899.7157,165.312
358,233,338.9899,219.83919,377.86115,246.16759
543,171,529.9987,159.31668,556.92084,183.30138
946,660,885.2177,568.91693,1006.9948,752.2314
25,728,-1.0628898,672.84015,52.416866,783.6984
873,136,846.5252,106.91747,899.7157,165.312
488,249,476.7363,236.19095,500.45728,263.7045
807,150,790.45215,135.1581,824.02435,165.7402
416,236,407.4736,221.93452,425.76614,250.97836
1335,414,1263.2065,354.2966,1406.9298,475.16907
183,604,120.163025,547.9483,245.85887,661.8144
1852,820,1785.7625,714.8123,1919.0802,926.5764
488,513,434.23093,443.23935,542.3532,582.99225
870,264,832.8853,225.6415,907.51483,303.2232
682,425,639.2902,357.0739,726.0207,494.42218
450,289,423.6033,264.2624,476.8561,314.3142
782,136,762.2543,123.620834,802.268,149.08018
521,199,506.2081,186.03944,537.7317,213.79454
842,126,826.51794,111.22881,858.7348,140.91457
393,210,378.99872,198.8986,407.18015,221.33444
888,154,867.60736,140.55305,909.1586,169.03049
1048,250,1011.00244,228.50914,1086.0592,272.20377
944,660,886.8026,568.6988,1003.03595,752.2175
489,249,478.29904,236.10416,501.6668,263.48697
747,110,734.6993,98.34648,760.98193,122.17221
995,287,980.4128,260.71924,1010.466,314.6363
708,114,697.69226,104.03196,719.9526,125.24405
682,426,638.5981,357.19443,726.4065,494.97668
995,287,980.4128,260.71924,1010.466,314.6363
1067,413,1049.8499,397.50388,1086.084,429.60947
944,660,887.2555,568.94617,1001.43115,752.13074
846,180,825.7539,171.58434,867.1535,188.59435
1602,730,1415.4342,521.8494,1789.8257,939.2978
867,269,833.6241,239.42816,900.88086,300.20956
923,226,888.5062,195.80562,958.72217,256.79642
677,160,662.8459,148.43068,692.70844,172.21666
735,136,721.6032,126.42684,749.0272,146.16806
537,177,523.02875,163.63,552.45984,191.25212
805,180,786.50745,162.82747,823.4993,197.26337
1515,493,1402.662,408.52393,1627.4056,578.28326
1514,492,1402.7928,407.84308,1626.6454,578.036
637,134,626.5049,121.778175,649.12506,146.75795
776,190,764.1934,183.52756,789.02344,197.92854
30,758,-1.5695299,701.3628,63.453987,816.09174
812,196,798.755,179.4055,826.93884,213.81316
456,184,436.15402,161.75021,477.02448,207.06114
33,758,-0.5409615,700.7695,67.901794,816.3053
488,249,476.5933,235.84473,501.26407,263.5523
1514,492,1402.7928,407.84308,1626.6454,578.036
1602,731,1415.8962,522.1571,1788.985,940.5797
946,661,886.8017,569.37665,1005.22943,752.64813
806,180,788.1857,163.13196,824.2865,197.51732
923,226,888.4024,196.14691,958.9632,256.61322
702,112,688.0855,100.02096,717.90393,124.372696
1840,818,1760.5583,709.7594,1920.7142,927.2983
920,174,896.42163,157.94527,943.9505,190.79382
598,234,576.4661,213.93108,621.3643,254.78755
1000,286,957.696,247.22845,1042.8523,325.26672
673,141,660.92584,128.93071,686.0895,154.95564
834,127,819.26355,113.46892,849.977,141.99495
